
cipher -->  Rotor: 100200321 --> ofxxavynpfabmwyojcidrzzanmcakkyaduyqdifnqpawpfrpllnjzjeuvubklihwo --> Plugs:['on', 'ef', 'pv', 'ty', 'au'] --->  yexeuptivesbmitnjcidrdlovicaketudatedieoqwuyverylloscefapabguihsa['1', '0', '2', '0', '3', '21', 'ofxxavynpfabmwyojcidrzzanmcakkyaduyqdifnqpawpfrpllnjzjeuvubklihwo']-----> Plugs: ['on', 'ef', 'pv', 'ty', 'au']  --> String: yexeuptivesbmitnjcidrdlovicaketudatedieoqwuyverylloscefapabguihsa
cipher -->  Rotor: 100200322 --> hwtkbbjlbarafmaocuilmdzazfcflbdmtucsogzwqrgiottwlrxjvlhuvuglxelym --> Plugs:['as', 'eu', 'hk', 'gn', 'dq'] --->  llthhbcuesrsfmsuceilopzsjkcrlydmteceongsdonaoftltrxjplkeverwxalym['1', '0', '2', '0', '3', '22', 'hwtkbbjlbarafmaocuilmdzazfcflbdmtucsogzwqrgiottwlrxjvlhuvuglxelym']-----> Plugs: ['as', 'eu', 'hk', 'gn', 'dq']  --> String: llthhbcuesrsfmsuceilopzsjkcrlydmteceongsdonaoftltrxjplkeverwxalym
cipher -->  Rotor: 100200323 --> qnrmtewfesgvyohfpjzafwauswhdzomwqqlefyguxvqkdbqsdalhtngadeeodxdeg --> Plugs:['ao', 'jx', 'gi', 'nw', 'kz'] --->  qprmtencesivyattereeunouswhdiombqqglsoioexogebgedoletwiodgeodjdei['1', '0', '2', '0', '3', '23', 'qnrmtewfesgvyohfpjzafwauswhdzomwqqlefyguxvqkdbqsdalhtngadeeodxdeg']-----> Plugs: ['ao', 'jx', 'gi', 'nw', 'kz']  --> String: qprmtencesivyattereeunouswhdiombqqglsoioexogebgedoletwiodgeodjdei
cipher -->  Rotor: 100200324 --> slaokzusdhansjyfhdzxzemwemfdskpzotyqcisnxuqhwlrndmfvttzafeskkqwou --> Plugs:['os', 'px', 'kl', 'gr', 'bj'] --->  omaslzgodfanobynhdipoevwemndplxzsleqccobpunhwnvndafattiadwollqcsu['1', '0', '2', '0', '3', '24', 'slaokzusdhansjyfhdzxzemwemfdskpzotyqcisnxuqhwlrndmfvttzafeskkqwou']-----> Plugs: ['os', 'px', 'kl', 'gr', 'bj']  --> String: omaslzgodfanobynhdipoevwemndplxzsleqccobpunhwnvndafattiadwollqcsu
cipher -->  Rotor: 100200325 --> ordxyemolqeyrzftubwguwvngwmrqnybaygkzyperjevbhyctlutrzfwmzvhogeiy --> Plugs:['ri', 'jx', 'dm', 'ov', 'az'] --->  vimeyedtlqesiautubcouwofgwhigqydtyvkaspeixpoghrmtlfyiafwdishonemy['1', '0', '2', '0', '3', '25', 'ordxyemolqeyrzftubwguwvngwmrqnybaygkzyperjevbhyctlutrzfwmzvhogeiy']-----> Plugs: ['ri', 'jx', 'dm', 'ov', 'az']  --> String: vimeyedtlqesiautubcouwofgwhigqydtyvkaspeixpoghrmtlfyiafwdishonemy
cipher -->  Rotor: 100201300 --> hkakklukffpyfjxxggadjfcdcajbimvagjrwtvrfpyfpcouyysvmdpzpgrnznkdlk --> Plugs:['an', 'jt', 'ep', 'qu', 'hz'] --->  yknkilqlefeyfjgxggndteldaatiperngtrejdtfetfccondosvmoehegrawakdlk['1', '0', '2', '1', '3', '0', 'hkakklukffpyfjxxggadjfcdcajbimvagjrwtvrfpyfpcouyysvmdpzpgrnznkdlk']-----> Plugs: ['an', 'jt', 'ep', 'qu', 'hz']  --> String: yknkilqlefeyfjgxggndteldaatiperngtrejdtfetfccondosvmoehegrawakdlk
cipher -->  Rotor: 100201301 --> kbkjjvodurxfofxqovqcaglpvciwejhebxrojcbztsyecidsopyewnbqcsxrdafgg --> Plugs:['eo', 'jt', 'cf', 'bg', 'ix'] --->  mbsttredurdcqginevorablpvfxwethzgroetdgzjsnoqxusekyewngyheirdaybq['1', '0', '2', '1', '3', '1', 'kbkjjvodurxfofxqovqcaglpvciwejhebxrojcbztsyecidsopyewnbqcsxrdafgg']-----> Plugs: ['eo', 'jt', 'cf', 'bg', 'ix']  --> String: mbsttredurdcqginevorablpvfxwethzgroetdgzjsnoqxusekyewngyheirdaybq
cipher -->  Rotor: 100201302 --> mqhfozlxmgrryvwcdhhdovjcdlovmkgaeeyqgrtjfdnamcxcysgvhgxpfrvfpcxcy --> Plugs:['an', 'ct', 'gi', 'ju', 'wz'] --->  myefoblgmirrsewhenhwobutceoctcimeeyecicutlaaotouysivtixefrvbptxty['1', '0', '2', '1', '3', '2', 'mqhfozlxmgrryvwcdhhdovjcdlovmkgaeeyqgrtjfdnamcxcysgvhgxpfrvfpcxcy']-----> Plugs: ['an', 'ct', 'gi', 'ju', 'wz']  --> String: myefoblgmirrsewhenhwobutceoctcimeeyecicutlaaotouysivtixefrvbptxty
cipher -->  Rotor: 100201303 --> zislwodvsnvdldejhxkdznghxiyrsgaahzcbcdpyhxpugghvysadjcwpwrrujnrqr --> Plugs:['at', 'ix', 'ls', 'bg', 'pr'] --->  znlswonelivdsredhidgznihixmplctfhadgcdryhilulchmymtdjcarpbpujnzqp['1', '0', '2', '1', '3', '3', 'zislwodvsnvdldejhxkdznghxiyrsgaahzcbcdpyhxpugghvysadjcwpwrrujnrqr']-----> Plugs: ['at', 'ix', 'ls', 'bg', 'pr']  --> String: znlswonelivdsredhidgznihixmplctfhadgcdryhilulchmymtdjcarpbpujnzqp
cipher -->  Rotor: 100201304 --> ozixdacsjdohnrrhppcetdkzjhqycfcgcoctfmzclbgjarzgahpivttkposlkupwt --> Plugs:['in', 'ep', 'uz', 'dq', 'jx'] --->  lunjdacsxqohiryheenhtarucedepfrlcohofyuclsotorngthendttkemtakeewt['1', '0', '2', '1', '3', '4', 'ozixdacsjdohnrrhppcetdkzjhqycfcgcoctfmzclbgjarzgahpivttkposlkupwt']-----> Plugs: ['in', 'ep', 'uz', 'dq', 'jx']  --> String: lunjdacsxqohiryheenhtarucedepfrlcohofyuclsotorngthendttkemtakeewt
